,sepal_length,sepal_width,petal_length,petal_width,species,zeros,zeros + 1
0,5,3.5,1.4,0.2,Iris-setosa,0,1
1,4,3.0,1.4,0.2,Iris-setosa,0,1
2,4,3.2,1.3,0.2,Iris-setosa,0,1
3,4,3.1,1.5,0.2,Iris-setosa,0,1
4,5,3.6,1.4,0.2,Iris-setosa,0,1
5,5,3.9,1.7,0.4,Iris-setosa,0,1
6,4,3.4,1.4,0.3,Iris-setosa,0,1
7,5,3.4,1.5,0.2,Iris-setosa,0,1
8,4,2.9,1.4,0.2,Iris-setosa,0,1
9,4,3.1,1.5,0.1,Iris-setosa,0,1
10,5,3.7,1.5,0.2,Iris-setosa,0,1
11,4,3.4,1.6,0.2,Iris-setosa,0,1
12,4,3.0,1.4,0.1,Iris-setosa,0,1
13,4,3.0,1.1,0.1,Iris-setosa,0,1
14,5,4.0,1.2,0.2,Iris-setosa,0,1
15,5,4.4,1.5,0.4,Iris-setosa,0,1
16,5,3.9,1.3,0.4,Iris-setosa,0,1
17,5,3.5,1.4,0.3,Iris-setosa,0,1
18,5,3.8,1.7,0.3,Iris-setosa,0,1
19,5,3.8,1.5,0.3,Iris-setosa,0,1
20,5,3.4,1.7,0.2,Iris-setosa,0,1
21,5,3.7,1.5,0.4,Iris-setosa,0,1
22,4,3.6,1.0,0.2,Iris-setosa,0,1
23,5,3.3,1.7,0.5,Iris-setosa,0,1
24,4,3.4,1.9,0.2,Iris-setosa,0,1
25,5,3.0,1.6,0.2,Iris-setosa,0,1
26,5,3.4,1.6,0.4,Iris-setosa,0,1
27,5,3.5,1.5,0.2,Iris-setosa,0,1
28,5,3.4,1.4,0.2,Iris-setosa,0,1
29,4,3.2,1.6,0.2,Iris-setosa,0,1
30,4,3.1,1.6,0.2,Iris-setosa,0,1
31,5,3.4,1.5,0.4,Iris-setosa,0,1
32,5,4.1,1.5,0.1,Iris-setosa,0,1
33,5,4.2,1.4,0.2,Iris-setosa,0,1
34,4,3.1,1.5,0.1,Iris-setosa,0,1
35,5,3.2,1.2,0.2,Iris-setosa,0,1
36,5,3.5,1.3,0.2,Iris-setosa,0,1
37,4,3.1,1.5,0.1,Iris-setosa,0,1
38,4,3.0,1.3,0.2,Iris-setosa,0,1
39,5,3.4,1.5,0.2,Iris-setosa,0,1
40,5,3.5,1.3,0.3,Iris-setosa,0,1
41,4,2.3,1.3,0.3,Iris-setosa,0,1
42,4,3.2,1.3,0.2,Iris-setosa,0,1
43,5,3.5,1.6,0.6,Iris-setosa,0,1
44,5,3.8,1.9,0.4,Iris-setosa,0,1
45,4,3.0,1.4,0.3,Iris-setosa,0,1
46,5,3.8,1.6,0.2,Iris-setosa,0,1
47,4,3.2,1.4,0.2,Iris-setosa,0,1
48,5,3.7,1.5,0.2,Iris-setosa,0,1
49,5,3.3,1.4,0.2,Iris-setosa,0,1
50,7,3.2,4.7,1.4,Iris-versicolor,0,1
51,6,3.2,4.5,1.5,Iris-versicolor,0,1
52,6,3.1,4.9,1.5,Iris-versicolor,0,1
53,5,2.3,4.0,1.3,Iris-versicolor,0,1
54,6,2.8,4.6,1.5,Iris-versicolor,0,1
55,5,2.8,4.5,1.3,Iris-versicolor,0,1
56,6,3.3,4.7,1.6,Iris-versicolor,0,1
57,4,2.4,3.3,1.0,Iris-versicolor,0,1
58,6,2.9,4.6,1.3,Iris-versicolor,0,1
59,5,2.7,3.9,1.4,Iris-versicolor,0,1
