timestamp,temperature_c,humidity_pct,pressure_hpa
2018-01-02,23.5,57,1010.0
2018-01-03,24.2,68,1011.3
2018-01-04,24.7,68,1012.5
2018-01-05,24.6,63,1011.3
2018-01-06,24.1,51,1011.2
2018-01-07,22.8,47,1012.5
2018-01-08,22.8,60,1012.5
2018-01-09,24.6,64,1013.6
2018-01-10,26.2,55,1013.9
2018-01-11,27.3,48,1013.4
2018-01-12,27.9,51,1012.4
2018-01-13,27.8,55,1012.0
2018-01-14,27.9,62,1012.4
2018-01-15,28.2,60,1012.3
2018-01-16,28.8,54,1011.0
2018-01-17,28.1,53,1011.3
2018-01-18,28.1,49,1012.1
2018-01-19,26.7,46,1013.0
2018-01-20,26.2,49,1012.2
2018-01-21,26.6,50,1010.7
2018-01-22,25.6,57,1009.6
2018-01-23,24.4,65,1010.9
2018-01-24,23.7,55,1011.5
2018-01-25,24.9,53,1010.7
2018-01-26,25.1,49,1010.5
2018-01-27,24.9,47,1010.7
2018-01-28,24.5,49,1011.7
2018-01-29,25.7,54,1012.5
2018-01-30,27.9,44,1013.0
2018-01-31,27.5,41,1013.3
2018-02-01,26.8,46,1013.2
2018-02-02,26.8,52,1011.8
2018-02-03,26.6,53,1011.5
2018-02-04,26.9,48,1011.3
2018-02-05,26.6,54,1012.8
2018-02-06,27.0,55,1013.3
2018-02-07,26.4,62,1012.2
2018-02-08,25.7,70,1012.3
2018-02-09,25.8,55,1012.2
2018-02-10,25.0,50,1012.8
2018-02-11,24.5,65,1013.2
2018-02-12,23.8,63,1015.5
2018-02-13,24.5,61,1016.6
2018-02-14,27.8,52,1015.4
2018-02-15,29.7,44,1016.0
2018-02-16,29.0,47,1015.4
2018-02-17,28.6,42,1012.3
2018-02-18,27.7,38,1010.3
2018-02-19,27.6,46,1010.3
2018-02-20,27.3,59,1010.7
2018-02-21,28.0,53,1009.4
2018-02-22,28.5,51,1008.7
2018-02-23,28.0,61,1009.3
2018-02-24,29.2,44,1011.0
2018-02-25,30.3,41,1011.6
2018-02-26,30.1,41,1010.9
2018-02-27,30.2,38,1009.9
2018-02-28,30.0,42,1009.6
2018-03-01,28.7,55,1009.4
2018-03-02,28.9,61,1009.1
2018-03-03,29.1,65,1008.6
2018-03-04,28.4,70,1008.9
2018-03-05,28.5,57,1010.0
2018-03-06,29.7,51,1009.7
2018-03-07,28.8,59,1009.4
2018-03-08,27.3,65,1010.3
2018-03-09,28.5,48,1010.5
2018-03-10,28.7,61,1010.1
2018-03-11,31.1,45,1010.2
2018-03-12,30.6,39,1010.4
2018-03-13,31.2,27,1010.3
2018-03-14,31.2,31,1009.9
2018-03-15,28.1,57,1010.1
2018-03-16,29.2,53,1009.3
2018-03-17,29.0,56,1009.3
2018-03-18,28.8,64,1009.6
2018-03-19,28.6,61,1011.8
2018-03-20,28.2,69,1011.3
2018-03-21,28.1,64,1011.0
2018-03-22,27.1,61,1010.6
2018-03-23,27.0,64,1010.2
2018-03-24,28.7,63,1010.6
2018-03-25,31.8,51,1010.7
2018-03-26,32.6,39,1010.4
2018-03-27,29.3,78,1010.4
2018-03-28,28.6,77,1010.2
